PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144213689,9850056,0,inactive,inactive,,0
144206149,9850878,0,inactive,inactive,,0
144206126,9852176,0,inactive,inactive,,0
144207028,9853654,0,inactive,inactive,,0
144205094,9855548,0,inactive,inactive,,0
144210762,9861124,0,inactive,inactive,,0
144205344,9862176,0,inactive,inactive,,0
144210763,9865929,0,inactive,inactive,,0
144210751,9866250,0,inactive,inactive,,0
144210769,9867605,0,inactive,inactive,,0
144205340,9868041,0,inactive,inactive,,0
144210557,9869105,0,inactive,inactive,,0
144210750,9869142,0,inactive,inactive,,0
144210567,9872438,53,active antagonist,active antagonist,9.64032,-75.7167
144205029,9881626,0,inactive,inactive,,0
144204130,9883259,0,inactive,inactive,,0
144210782,9885850,20,active agonist,active agonist,4.89662,130.029
144206138,9887053,0,inactive,inactive,,0
144210765,9888347,0,inactive,inactive,,0
144207165,9890250,0,inactive,inactive,,0
144204825,9899402,0,inactive,inactive,,0
144207179,9906942,0,inactive,inactive,,0
144210553,9909677,20,active agonist,active agonist,6.65625,448.21
144210780,9910393,0,inactive,inactive,,0
144204021,9915886,0,inactive,inactive,,0
144210707,9920342,0,inactive,inactive,,0
144205580,9925873,0,inactive,inactive,,0
144210787,9926621,0,inactive,inactive,,0
144205726,9927058,0,inactive,inactive,,0
144204510,9928181,0,inactive,inactive,,0
144210766,9930121,0,inactive,inactive,,0
144210767,9932000,0,inactive,inactive,,0
144205972,9936727,0,inactive,inactive,,0
144204958,9941647,0,inactive,inactive,,0
144210775,9949821,0,inactive,inactive,,0
144204508,9952220,0,inactive,inactive,,0
144206345,9954082,0,inactive,inactive,,0
144210764,9955578,0,inactive,inactive,,0
144210772,9969177,0,inactive,inactive,,0
144210749,10021362,0,inactive,inactive,,0
144206907,10041070,76,active antagonist,active antagonist,0.312844,-111.746
144213666,10068207,0,inactive,inactive,,0
144206220,10126299,20,active agonist,active agonist,10.6822,51.9699
144204772,10131132,0,inactive,inactive,,0
144210752,10132209,0,inactive,inactive,,0
144206820,10133071,0,inactive,inactive,,0
144210761,10145345,0,inactive,inactive,,0
144212816,10154203,0,inactive,inactive,,0
